"ID","Title","Parent"
"10715","QA Demo","9884"
"10737","QA - Preparar Test Plan","9819"
"10739","QA - Demo","9819"
"10745","QA - Preparar Test Plan","10449"
"10772","QA - Preparar Test Plan","10768"
"10773","QA - Ejecutar Test Plan","10768"
"10774","QA - Demo","10768"
"10793","QA - Preparar Test Plan","9877"
"10794","QA - Ejecutar Test Plan","9877"
"10795","QA - Demo","9877"
"10813","QA - Ejecutar Pruebas","9893"
"10814","QA - Demo","9893"
"10815","QA - Preparar Test Plan","9511"
"10816","QA - Ejecutar Test Plan","9511"
"10817","QA - Demo","9511"
"10818","QA - Preparar Test Plan","9872"
"10819","QA - Ejecutar Test Plan","9872"
"10820","QA - Demo","9872"
"10831","QA - Demo","10449"
"10832","QA - Preparar Test Plan","9803"
"10833","QA - Demo","9803"
"10834","QA - Ejecutar Test Plan","9819"
"10835","QA - Ejecutar Test Plan","10449"
"10836","QA - Ejecutar Test Plan","9884"
"10837","QA - Ejecutar Test Plan","9803"
"10858","QA - Preparar Test Plan","10708"
"10859","QA - Ejecutar Test Plan","10708"
"10860","QA - Demo","10708"
"10873","QA Apoyo","9511"
"10874","QA Apoyo","9872"
"10900","Soporte QA","10801"
"10904","QA - Preparar Test Plan","9873"
"10905","QA - Ejecutar Test Plan","9873"
"10906","QA - Demo","9873"
"10907","QA - Preparar Test Plan","9856"
"10908","QA - Ejecutar Test Plan","9856"
"10909","QA - Demo","9856"
"10910","QA - Preparar Test Plan","10305"
"10911","QA - Ejecutar Test Plan","10305"
"10912","QA - Demo","10305"
"10913","QA - Preparar Test Plan","9838"
"10914","QA - Ejecutar Test Plan","9838"
"10915","QA - Demo","9838"
"10916","QA - Preparar Test Plan","10578"
"10917","QA - Ejecutar Test Plan","10578"
"10918","QA - Demo","10578"
"10919","QA - Preparar Test Plan","10464"
"10920","QA - Ejecutar Test Plan","10464"
"10921","QA - Demo","10464"
"10922","QA - Apoyo","10464"
"10923","QA - Preparar Test Plan","10610"
"10924","QA - Ejecutar Test Plan","10610"
"10925","QA - Demo","10610"
"10926","QA - Preparar Test Plan","10528"
"10927","QA - Ejecutar Test Plan","10528"
"10928","QA - Demo","10528"
"10942","QA - Preparar Test Plan","10801"
"10943","QA - Ejecutar Test Plan","10801"
"10944","QA - Demo","10801"
"10977","QA - Preparar Test Plan","10886"
"10978","QA - Ejecutar Test Plan","10886"
"10979","QA - Demo","10886"
"10989","QA-Ejecutar Pruebas","10887"
"10990","QA Ejecutar pruebas","10710"
"10994","QA - Preparar Test Plan","10789"
"10995","QA - Ejecutar Test Plan","10789"
"10996","QA - Demo","10789"
"11041","QA Demo","10709"
"11107","QA - Análisis US","10800"
"11108","QA - Crear TP","10800"
"11109","QA - Preparar TP","10800"
"11110","QA - Ejecutar TP","10800"
"11111","QA Ejecutar pruebas","10460"
"11119","QA - Preparar Test Plan","10971"
"11120","QA - Preparar Test Plan","10972"
"11121","QA - Preparar Test Plan","11015"
"11139","QA - Ejecutar Test Plan","10972"
"11140","QA - Ejecutar Test Plan","10971"
"11183","QA - Preparar Test Plan","9939"
"11184","QA - Ejecutar Test Plan","9939"
"11185","QA - Demo","9939"
"11186","QA - Preparar Test Plan","10709"
"11187","QA - Ejecutar Test Plan","10709"
"11193","QA - Ejecutar Test Plan","10966"
"11194","QA - Demo","10966"
"11199","QA - Ejecutar Pruebas","10967"
"11200","QA - Demo","10967"
